Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-3-4-5-6-BH2BCl,c1(B)c(B)c(B)c(B)c(B)c1(Cl),Cl,BH2,BH2,BH2,8.7,1.961807666,1.7424,3.5,-11.097,C1,1.7368,-0.0056,3.577,0.077,-10.785,,3.1056,0.094,-4.965,0.0105,0.00739,-0.00128,-0.00611,0.0347,0.00128,3.89E-06,-0.0105,-1.64,-1.606008218,-1.31,-1.280550038,0.02904365,0.000406312,1.83,-0.00709
2-3-4-5-6-ClBCl,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl),Cl,Cl,Cl,Cl,16,1.937248884,1.7243,4.001,-6.85,C1,1.7239,-0.0004,3.994,-0.007,-5.79,NAN,3.0143,0.101,-6.735,0.0123,0.00888,-0.00152,-0.00736,0.0416,0.00152,2.50E-06,-0.0123,-2.6,-2.583678499,-2.25,-2.232284968,0.017494965,0.000220068,1160.94,-0.01015
2-3-4-5-6-CNBCl,c1(C#N)c(C#N)c(C#N)c(C#N)c(C#N)c1(Cl),Cl,CN,CN,CN,33.7,1.918602769,1.7128,4.234,-8.867,C1,1.7131,0.0003,4.152,-0.082,-7.459,NAN,2.9074,0.155,-7.287,0.0152,0.0111,-0.00181,-0.0093,0.0517,0.00181,7.49E-07,-0.0152,-5.01,-4.986355899,-4.61,-4.586544762,0.023701034,-0.000245795,3.73,-0.01685
2-3-4-5-6-FBCl,c1(F)c(F)c(F)c(F)c(F)c1(Cl),Cl,F,F,F,18.2,1.935858164,1.7208,4.222,-6.394,C1,1.7222,0.0014,4.149,-0.073,-5.08,NAN,2.998,0.109,-6.976,0.0127,0.00918,-0.00155,-0.00763,0.043,0.00155,5.62E-07,-0.0127,-2.85,-2.829743799,-2.52,-2.50123345,0.018775084,-8.53E-06,2.72,-0.01116
2-3-4-5-6-NH2BCl,c1(N)c(N)c(N)c(N)c(N)c1(Cl),Cl,NH2,NH2,NH2,5.3,1.970650733,1.7581,3.463,-6.41,C1,1.7568,-0.0013,3.492,0.029,-6.157,,3.1729,0.054,-4.515,0.00825,0.0059,-0.000999,-0.0049,0.0276,0.000999,2.78E-06,-0.00825,-1.33,-1.303374882,-1.04,-1.018318355,0.018976515,0.002705131,160.57,-0.00124
2-3-4-5-6-OHBCl,c1(O)c(O)c(O)c(O)c(O)c1(Cl),Cl,OH,OH,OH,18.4,1.958470524,1.7499,3.668,-5.265,Cs,1.7485,-0.0014,3.71,0.042,-4.325,,3.0941,0.088,-6.453,0.0107,0.00758,-0.0013,-0.00628,0.0355,0.0013,1.50E-06,-0.0107,-2.38,-2.356702038,-2.1,-2.074786606,0.025633763,-0.000420369,1.93,-0.00758
2-3-4-5-6-SHBCl,c1(S)c(S)c(S)c(S)c(S)c1(Cl),Cl,SH,SH,SH,17.6,1.956330219,1.7496,3.509,-5.787,C1,1.747,-0.0026,3.566,0.057,-4.878,,3.0788,0.092,-6.469,0.011,0.00783,-0.00133,-0.00649,0.0367,0.00133,1.66E-06,-0.011,-2.49,-2.329204571,-2.17,-2.012344199,0.157686862,-3.11E-05,468.51,-0.00718
2-3-5-6-BH2BCl,c1(B)c(B)cc(B)c(B)c1(Cl),Cl,BH2,BH2,H,9.1,1.966981401,1.7676,3.277,-8.918,Cs,1.7631,-0.0045,3.388,0.111,-8.147,,3.1195,0.073,-5.563,0.0102,0.00717,-0.00124,-0.00593,0.0337,0.00124,7.48E-07,-0.0102,-1.65,-1.625718104,-1.36,-1.331908219,0.028269931,-0.00017815,1.66,-0.00712
2-3-5-6-ClBCl,c1(Cl)c(Cl)cc(Cl)c(Cl)c1(Cl),Cl,Cl,Cl,H,14.6,1.938990897,1.7254,3.997,-6.883,C1,1.7249,-0.0005,3.982,-0.015,-5.862,NAN,3.0221,0.098,-6.651,0.0121,0.00874,-0.0015,-0.00724,0.0409,0.0015,2.46E-06,-0.0121,-2.44,-2.418480348,-2.12,-2.102961674,0.016635277,0.000403049,2.46,-0.0099
2-3-5-6-CN-4-CF3BCl,c1(C#N)c(C#N)c(C(F)(F)F)c(C#N)c(C#N)c1(Cl),Cl,CN,CN,CF3,31.5,1.919636309,1.7136,4.218,-8.497,C1,1.7139,0.0003,4.144,-0.074,-7.102,NAN,2.9131,0.152,-7.327,0.015,0.011,-0.0018,-0.00918,0.0511,0.0018,9.85E-07,-0.015,-4.8,-4.784291565,-4.41,-4.392447053,0.017752244,-0.000199297,3.65,-0.01628
2-3-5-6-CN-4-NO2BCl,c1(C#N)c(C#N)c(N(=O)=O)c(C#N)c(C#N)c1(Cl),Cl,CN,CN,NO2,34,1.917480964,1.7124,4.243,-8.648,C1,1.713,0.0006,4.157,-0.086,-7.21,NAN,2.9042,0.156,-7.388,0.0153,0.0112,-0.00182,-0.00936,0.052,0.00182,1.32E-06,-0.0153,-5.06,-5.043904795,-4.66,-4.640051473,0.020080304,-0.000131777,3.78,-0.01697
